ProductID,Product Name,Category,SubCategory,Unit Price (MRP)
P001,"Enermax Note Cards, Premium",Office Supplies,Paper,15.00
P002,"Dania Corner Shelving, Traditional",Furniture,Bookcases,122.00
P003,"Binney & Smith Sketch Pad, Easy-Erase",Office Supplies,Art,46.67
P004,"Boston Markers, Easy-Erase",Office Supplies,Art,13.50
P005,"Eldon Folders, Single Width",Office Supplies,Storage,8.50
P006,"Binney & Smith Pencil Sharpener, Water Color",Office Supplies,Art,30.00
P007,"Sanford Canvas, Fluorescent",Office Supplies,Art,51.75
P008,"Bush Floating Shelf Set, Pine",Furniture,Bookcases,155.00
P009,"Accos Thumb Tacks, Assorted Sizes",Office Supplies,Fasteners,11.00
P010,"Smead Lockers, Industrial",Office Supplies,Storage,179.00
P011,"Ikea Classic Bookcase, Metal",Furniture,Bookcases,164.50
P012,"Binney & Smith Sketch Pad, Blue",Office Supplies,Art,23.20
P013,"SAFCO Executive Leather Armchair, Red",Furniture,Chairs,461.33
P014,"Binney & Smith Canvas, Blue",Office Supplies,Art,51.50
P015,"Bevis Training Table, with Bottom Storage",Furniture,Tables,134.00
P016,"Boston Canvas, Fluorescent",Office Supplies,Art,55.00
P017,"Smead Trays, Single Width",Office Supplies,Storage,48.50
P018,"Novimex File Folder Labels, Alphabetical",Office Supplies,Labels,8.00
P019,"Ibico Hole Reinforcements, Recycled",Office Supplies,Binders,7.33
P020,"Green Bar Note Cards, Multicolor",Office Supplies,Paper,17.00
P021,"Hon Chairmat, Adjustable",Furniture,Chairs,58.00
P022,"Ikea Stackable Bookrack, Traditional",Furniture,Bookcases,110.40
P023,"Ibico Index Tab, Clear",Office Supplies,Binders,8.50
P024,"Epson Printer, White",Technology,Machines,261.00
P025,"Wilson Jones Hole Reinforcements, Durable",Office Supplies,Binders,3.00
P026,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",Office Supplies,Labels,5.50
P027,"Green Bar Cards & Envelopes, Multicolor",Office Supplies,Paper,25.00
P028,"Smead Lockers, Blue",Office Supplies,Storage,99.00
P029,"Sanford Pens, Fluorescent",Office Supplies,Art,6.20
P030,"Xerox Message Books, Premium",Office Supplies,Paper,20.36
P031,"StarTech Card Printer, White",Technology,Machines,162.00
P032,"Apple Headset, with Caller ID",Technology,Phones,73.33
P033,"Cuisinart Microwave, White",Office Supplies,Appliances,249.00
P034,"Harbour Creations Removable Labels, 5000 Label Set",Office Supplies,Labels,10.50
P035,"Green Bar Computer Printout Paper, 8.5 x 11",Office Supplies,Paper,34.00
P036,"Elite Letter Opener, Easy Grip",Office Supplies,Supplies,27.50
P037,"Hewlett Copy Machine, Laser",Technology,Copiers,263.50
P038,"Hon Shipping Labels, Laser Printer Compatible",Office Supplies,Labels,5.67
P039,"Stockwell Thumb Tacks, Bulk Pack",Office Supplies,Fasteners,13.50
P040,"Acco Binding Machine, Economy",Office Supplies,Binders,26.00
P041,"Wilson Jones Binding Machine, Clear",Office Supplies,Binders,48.33
P042,"Fellowes Folders, Blue",Office Supplies,Storage,16.00
P043,"GlobeWeis Business Envelopes, Recycled",Office Supplies,Envelopes,16.00
P044,"Boston Pencil Sharpener, Water Color",Office Supplies,Art,29.00
P045,"Memorex Router, Programmable",Technology,Accessories,247.50
P046,"Bush Classic Bookcase, Traditional",Furniture,Bookcases,412.50
P047,"Avery Index Tab, Clear",Office Supplies,Binders,6.00
P048,"Tenex File Cart, Blue",Office Supplies,Storage,133.20
P049,"Boston Canvas, Easy-Erase",Office Supplies,Art,54.00
P050,"Rogers Lockers, Single Width",Office Supplies,Storage,127.00
P051,"Harbour Creations Swivel Stool, Set of Two",Furniture,Chairs,73.00
P052,"Office Star Bag Chairs, Set of Two",Furniture,Chairs,23.00
P053,"Advantus Staples, 12 Pack",Office Supplies,Fasteners,10.25
P054,"Harbour Creations Color Coded Labels, Adjustable",Office Supplies,Labels,10.80
P055,"SanDisk Memo Slips, Multicolor",Office Supplies,Paper,18.33
P056,"Boston Markers, Fluorescent",Office Supplies,Art,28.00
P057,"Stanley Markers, Water Color",Office Supplies,Art,25.43
P058,"Advantus Light Bulb, Duo Pack",Furniture,Furnishings,20.00
P059,"Cardinal Binder, Clear",Office Supplies,Binders,13.30
P060,"Acco Binder Covers, Clear",Office Supplies,Binders,13.00
P061,"Avery Binder, Economy",Office Supplies,Binders,13.00
P062,"Smead Removable Labels, 5000 Label Set",Office Supplies,Labels,10.67
P063,"Memorex Flash Drive, Bluetooth",Technology,Accessories,29.33
P064,"Hewlett Wireless Fax, Laser",Technology,Copiers,190.00
P065,"Rogers Folders, Single Width",Office Supplies,Storage,28.00
P066,"Sanford Pencil Sharpener, Water Color",Office Supplies,Art,26.00
P067,"Acco Hole Reinforcements, Recycled",Office Supplies,Binders,7.00
P068,"Avery Hole Reinforcements, Durable",Office Supplies,Binders,6.00
P069,"Fellowes File Cart, Industrial",Office Supplies,Storage,124.00
P070,"Brother Wireless Fax, Laser",Technology,Copiers,379.00
P071,"Boston Highlighters, Water Color",Office Supplies,Art,22.00
P072,"Cisco Headset, Full Size",Technology,Phones,81.00
P073,"Xerox Note Cards, Premium",Office Supplies,Paper,13.00
P074,"HP Fax and Copier, Digital",Technology,Copiers,86.00
P075,"Motorola Signal Booster, Cordless",Technology,Phones,73.00
P076,"Acme Box Cutter, High Speed",Office Supplies,Supplies,38.00
P077,"Logitech Numeric Keypad, Erganomic",Technology,Accessories,22.00
P078,"Hewlett Copy Machine, Color",Technology,Copiers,91.67
P079,"Konica Phone, White",Technology,Machines,29.67
P080,"Cisco Smart Phone, Full Size",Technology,Phones,587.00
P081,"Ikea Library with Doors, Pine",Furniture,Bookcases,364.50
P082,"SAFCO Steel Folding Chair, Black",Furniture,Chairs,66.50
P083,"BIC Canvas, Water Color",Office Supplies,Art,57.00
P084,"Boston Pencil Sharpener, Easy-Erase",Office Supplies,Art,15.17
P085,"Tenex Shelving, Industrial",Office Supplies,Storage,49.67
P086,"Stanley Pencil Sharpener, Water Color",Office Supplies,Art,28.00
P087,"Avery Binder Covers, Durable",Office Supplies,Binders,12.50
P088,"Konica Receipt Printer, Wireless",Technology,Machines,104.00
P089,"Novimex Legal Exhibit Labels, Laser Printer Compatible",Office Supplies,Labels,10.33
P090,"Stockwell Clamps, 12 Pack",Office Supplies,Fasteners,18.33
P091,"Binney & Smith Pencil Sharpener, Fluorescent",Office Supplies,Art,26.60
P092,"Cardinal Binder Covers, Clear",Office Supplies,Binders,11.43
P093,"Advantus Frame, Duo Pack",Furniture,Furnishings,89.00
P094,"GlobeWeis Manila Envelope, Set of 50",Office Supplies,Envelopes,13.75
P095,"Rogers Trays, Wire Frame",Office Supplies,Storage,30.33
P096,"Ikea Corner Shelving, Metal",Furniture,Bookcases,122.67
P097,"Cardinal 3-Hole Punch, Clear",Office Supplies,Binders,28.33
P098,"Stockwell Rubber Bands, 12 Pack",Office Supplies,Fasteners,16.00
P099,"Smead Folders, Wire Frame",Office Supplies,Storage,15.00
P100,"Avery Binder Covers, Clear",Office Supplies,Binders,5.20
P101,"Tenex File Cart, Industrial",Office Supplies,Storage,53.75
P102,"Sauder Library with Doors, Mobile",Furniture,Bookcases,390.00
P103,"Kraft Clasp Envelope, with clear poly window",Office Supplies,Envelopes,12.50
P104,"BIC Highlighters, Blue",Office Supplies,Art,19.00
P105,"Panasonic Receipt Printer, Wireless",Technology,Machines,103.00
P106,"Dania Classic Bookcase, Traditional",Furniture,Bookcases,411.00
P107,"Boston Highlighters, Easy-Erase",Office Supplies,Art,19.00
P108,"BIC Markers, Blue",Office Supplies,Art,26.00
P109,"Eldon Box, Blue",Office Supplies,Storage,9.00
