OrderID,CustomerID,OrderDate,ProductID,Discount,Profit,Quantity,ShipDate,ShippingID,Price
BN-2011-7407039,C001,2020-01-01,P001,0.5,-26,3,2020-01-05,S002,45
AZ-2011-9050313,C002,2020-01-03,P002,0,290,7,2020-01-07,S001,854
AZ-2011-6674300,C003,2020-01-04,P003,0,21,3,2020-01-08,S001,140
AZ-2011-6674300,C003,2020-01-04,P003,0,21,3,2020-01-08,S001,140
AZ-2011-6674300,C003,2020-01-04,P003,0,21,3,2020-01-08,S001,140
AZ-2011-6674300,C003,2020-01-04,P003,0,21,3,2020-01-08,S001,140
BN-2011-2819714,C004,2020-01-04,P004,0.5,-22,2,2020-01-09,S001,27
BN-2011-2819714,C004,2020-01-04,P005,0.5,-1,2,2020-01-09,S001,17
AZ-2011-617423,C005,2020-01-05,P006,0,21,3,2020-01-07,S004,90
AZ-2011-617423,C005,2020-01-05,P007,0,77,4,2020-01-07,S004,207
AZ-2011-2918397,C006,2020-01-07,P008,0.1,36,1,2020-01-08,S004,155
AZ-2011-2918397,C006,2020-01-07,P009,0,2,3,2020-01-08,S004,33
AZ-2011-2918397,C006,2020-01-07,P010,0.1,143,4,2020-01-08,S004,716
BN-2011-3248724,C007,2020-01-08,P011,0.6,-1012,6,2020-01-14,S001,987
BN-2011-3248724,C007,2020-01-08,P012,0.5,-56,5,2020-01-14,S001,116
AZ-2011-7053593,C010,2020-01-11,P013,0,14,3,2020-01-11,S003,1384
AZ-2011-7053593,C010,2020-01-11,P014,0,20,2,2020-01-11,S003,103
AZ-2011-6439906,C002,2020-01-11,P015,0.6,-342,2,2020-01-15,S001,268
AZ-2011-4827146,C009,2020-01-11,P016,0,10,1,2020-01-15,S001,55
AZ-2011-4827146,C009,2020-01-11,P017,0,31,2,2020-01-15,S001,97
AZ-2011-6439906,C002,2020-01-11,P018,0,6,5,2020-01-15,S001,40
AZ-2011-6712797,C008,2020-01-11,P019,0,7,3,2020-01-16,S001,22
AZ-2011-2222024,C013,2020-01-12,P020,0.5,-6,2,2020-01-15,S004,34
AZ-2011-9927716,C012,2020-01-12,P021,0,70,5,2020-01-17,S001,290
AZ-2011-5702370,C011,2020-01-12,P022,0.1,165,5,2020-01-19,S001,552
AZ-2011-5702370,C011,2020-01-12,P014,0,49,5,2020-01-19,S001,257.5
AZ-2011-5702370,C011,2020-01-12,P023,0,6,2,2020-01-19,S001,17
AZ-2011-5702370,C011,2020-01-12,P024,0,21,2,2020-01-19,S001,522
BN-2011-4913858,C014,2020-01-13,P025,0.5,-3,3,2020-01-19,S001,9
BN-2011-4913858,C014,2020-01-13,P026,0.5,-12,4,2020-01-19,S001,22
BN-2011-4913858,C014,2020-01-13,P027,0.5,-38,2,2020-01-19,S001,50
BN-2011-4913858,C014,2020-01-13,P028,0.5,-131,2,2020-01-19,S001,198
BN-2011-2807470,C015,2020-01-13,P029,0.5,-14,5,2020-01-20,S001,31
AZ-2011-5960662,C016,2020-01-14,P030,0,103,11,2020-01-19,S001,224
AZ-2011-5960662,C016,2020-01-14,P031,0,78,3,2020-01-19,S001,486
AZ-2011-5960662,C016,2020-01-14,P032,0,66,6,2020-01-19,S001,440
AZ-2011-7675351,C017,2020-01-15,P033,0.1,3,1,2020-01-20,S002,249
AZ-2011-7675351,C017,2020-01-15,P034,0,7,2,2020-01-20,S002,21
AZ-2011-7675351,C017,2020-01-15,P035,0,25,5,2020-01-20,S002,170
AZ-2011-7675351,C017,2020-01-15,P036,0,2,2,2020-01-20,S002,55
AZ-2011-7675351,C017,2020-01-15,P037,0,11,2,2020-01-20,S002,527
BN-2011-3770060,C018,2020-01-17,P038,0.5,-8,3,2020-01-23,S001,17
AZ-2011-7419210,C019,2020-01-18,P039,0,33,8,2020-01-21,S004,108
AZ-2011-1816950,C020,2020-01-18,P040,0.5,-11,1,2020-01-23,S002,26
AZ-2011-5342265,C022,2020-01-19,P041,0,44,3,2020-01-20,S004,145
AZ-2011-5342265,C022,2020-01-19,P042,0.4,8,3,2020-01-20,S004,48
AZ-2011-3059419,C021,2020-01-19,P043,0,21,3,2020-01-21,S004,48
